"filename", "language", "Properties", "JavaScript", "Markdown", "CSS", "HTML", "JSON", "SVG", "JavaScript React", "SCSS", "comment", "blank", "total"
"c:\Users\Yoni\OneDrive\Documents\React\building-yeshiva\.env", "Properties", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Yoni\OneDrive\Documents\React\building-yeshiva\LICENSE.md", "Markdown", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 5, 22
"c:\Users\Yoni\OneDrive\Documents\React\building-yeshiva\README.md", "Markdown", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 33, 71
"c:\Users\Yoni\OneDrive\Documents\React\building-yeshiva\package-lock.json", "JSON", 0, 0, 0, 0, 0, 34969, 0, 0, 0, 0, 1, 34970
"c:\Users\Yoni\OneDrive\Documents\React\building-yeshiva\package.json", "JSON", 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 54
"c:\Users\Yoni\OneDrive\Documents\React\building-yeshiva\public\html\Takanon.css", "CSS", 0, 0, 0, 195, 0, 0, 0, 0, 0, 0, 45, 240
"c:\Users\Yoni\OneDrive\Documents\React\building-yeshiva\public\html\Takanon.html", "HTML", 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 7, 56
"c:\Users\Yoni\OneDrive\Documents\React\building-yeshiva\public\html\nicepage.css", "CSS", 0, 0, 0, 37967, 0, 0, 0, 0, 0, 206, 129, 38302
"c:\Users\Yoni\OneDrive\Documents\React\building-yeshiva\public\html\nicepage.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 33, 0, 42
"c:\Users\Yoni\OneDrive\Documents\React\building-yeshiva\public\index.html", "HTML", 0, 0, 0, 0, 20, 0, 0, 0, 0, 23, 3, 46
"c:\Users\Yoni\OneDrive\Documents\React\building-yeshiva\public\manifest.json", "JSON", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 13
